Column A,Column B,P-Value,Word Count
19,115,0.042322682,24
19,117,0.048123461,64
19,118,0.044156183,30
19,119,0.046500892,31
19,121,0.049405186,22
19,122,0.036927734,21
19,123,0.039082948,58
19,124,0.046939903,32
19,128,0.046059159,63
19,130,0.0481402,32
19,140,0.049508213,42
19,146,0.034987599,34
19,147,0.048412402,34
19,149,0.042504909,14
19,150,0.039450596,26
19,151,0.044174278,17
19,153,0.04965783,26
19,154,0.041763184,22
19,155,0.049397684,58
19,156,0.029172147,9
19,157,0.047434336,27
19,160,0.038338918,25
19,161,0.030024314,15
19,162,0.041118859,13
19,164,0.049949976,13
19,166,0.035522337,7
19,170,0.046151262,20
19,171,0.041895985,24
19,174,0.035710291,24
19,176,0.037559387,32
19,178,0.031793693,26
19,183,0.040603687,15
19,184,0.044825259,25
19,187,0.047440323,15
19,188,0.04349178,23
19,189,0.040927103,15
19,190,0.036207843,12
19,191,0.047863974,26
19,194,0.034465925,63
19,199,0.029222538,11
19,200,0.047624591,22
19,201,0.048855251,27
19,202,0.043376528,24
19,207,0.045044079,13
19,208,0.048827897,27
19,211,0.035240224,10
19,214,0.046282595,10
19,215,0.046084971,21
19,222,0.043828632,24
19,223,0.049681345,39
19,224,0.043023184,31
19,237,0.035390853,27
19,239,0.04982695,9
19,242,0.036949251,26
19,243,0.038935122,40
19,245,0.04855995,25
19,246,0.044363017,26
19,247,0.049539013,25
19,250,0.042497884,32
19,253,0.03259524,15
19,255,0.043475155,17
19,257,0.041569266,20
19,258,0.041226833,14
19,259,0.036870668,22
19,273,0.039481228,66
19,278,0.043418249,27
20,19,0.044796171,34
20,37,0.045016016,19
20,41,0.044114883,18
20,55,0.047188787,18
20,106,0.033505257,7
20,122,0.043519536,22
20,149,0.036054868,17
20,151,0.041567622,17
20,154,0.04535707,27
20,156,0.040304974,9
20,161,0.044291039,17
20,190,0.045932754,15
20,199,0.036115343,11
20,207,0.028254028,16
20,227,0.048828125,10
20,239,0.03777822,17
21,14,0.036031686,7
21,19,0.043371279,27
21,22,0.036715461,27
21,23,0.049734598,15
21,25,0.034287968,7
21,49,0.046875,7
21,50,0.04215345,7
21,62,0.04534035,12
21,132,0.039480213,27
21,135,0.034287968,7
21,137,0.03125,7
21,139,0.045209851,14
21,151,0.043487747,24
21,181,0.038943762,14
21,219,0.048773199,27
21,227,0.03719247,12
21,232,0.047585792,23
21,236,0.045960733,27
21,241,0.035328945,14
21,261,0.041785168,7
21,263,0.031733516,21
21,279,0.03125,7
22,1,0.044736168,19
22,16,0.049118106,19
22,18,0.049118106,19
22,21,0.036715461,27
22,26,0.049118106,19
22,33,0.040504447,18
22,34,0.047336264,27
22,37,0.048360718,28
22,41,0.041076903,17
22,48,0.040484414,31
22,52,0.04926997,18
22,54,0.029731602,27
22,55,0.03837987,17
22,61,0.048733052,31
22,68,0.044015362,20
22,74,0.038418594,18
22,75,0.037700662,15
22,80,0.034287968,8
22,87,0.035397486,27
22,98,0.038412304,18
22,102,0.039088196,17
22,103,0.039088196,17
22,106,0.035522337,6
22,107,0.042107105,30
22,115,0.046606205,31
22,122,0.036899198,22
22,140,0.046109939,47
22,149,0.043451534,16
22,151,0.043416394,16
22,154,0.047643992,22
22,156,0.032088734,11
22,161,0.037948059,19
22,170,0.043267306,32
22,171,0.041674036,21
22,174,0.031154672,18
22,178,0.04975163,18
22,183,0.036153467,20
22,188,0.035522337,6
22,190,0.049156031,17
22,201,0.037049845,17
22,207,0.046295042,16
22,213,0.036031686,8
22,245,0.039364784,32
22,253,0.046284806,16
22,258,0.041481791,17
22,259,0.028478462,18
23,1,0.037700662,15
23,16,0.036109542,23
23,17,0.037972298,15
23,18,0.036109542,23
23,21,0.049734598,15
23,26,0.036109542,23
23,33,0.046840051,25
23,34,0.037972298,15
23,37,0.038883928,13
23,38,0.038666646,27
23,40,0.032088734,11
23,41,0.038110161,15
23,43,0.045935175,52
23,52,0.047879765,18
23,55,0.046295042,15
23,56,0.043825584,9
23,61,0.045862073,31
23,68,0.039922491,20
23,73,0.04197517,25
23,74,0.047659944,15
23,76,0.047541405,24
23,80,0.033966233,9
23,82,0.028983054,13
23,85,0.034800774,30
23,86,0.041734948,39
23,87,0.029739439,26
23,91,0.040120025,39
23,101,0.049904189,31
23,102,0.040279492,14
23,103,0.040279492,14
23,106,0.034006403,6
23,111,0.044585228,29
23,113,0.049397678,21
23,115,0.04672796,18
23,122,0.04853366,19
23,128,0.045563275,51
23,139,0.046096963,31
23,140,0.045946719,49
23,147,0.031847832,38
23,149,0.02789199,14
23,151,0.037855821,15
23,153,0.046040788,21
23,154,0.049375199,23
23,156,0.036031686,7
23,159,0.035522337,7
23,161,0.032724058,15
23,170,0.046129163,20
23,171,0.040777846,26
23,176,0.035715665,38
23,178,0.049596445,12
23,183,0.032222304,21
23,185,0.049596445,12
23,186,0.049596445,12
23,187,0.038011144,15
23,188,0.035522337,7
23,189,0.045930369,19
23,190,0.041311226,13
23,191,0.047769829,15
23,199,0.031976819,10
23,200,0.047663395,21
23,201,0.030772855,15
23,207,0.035522337,6
23,211,0.041810543,10
23,213,0.035522337,8
23,214,0.031976819,10
23,215,0.044863325,19
23,222,0.042923697,39
23,223,0.040141592,40
23,234,0.044961241,12
23,238,0.042315275,9
23,239,0.033232681,21
23,242,0.037019743,31
23,245,0.04068103,28
23,253,0.049919332,15
23,258,0.035578833,13
23,259,0.045126949,13
23,278,0.043361426,39
24,16,0.046217573,20
24,17,0.028983054,11
24,18,0.046217573,20
24,26,0.046217573,20
24,30,0.040039739,22
24,37,0.035522337,6
24,38,0.049941663,19
24,40,0.044010984,10
24,41,0.037109375,10
24,43,0.040480643,19
24,46,0.035522337,7
24,52,0.049740553,22
24,56,0.035014981,7
24,59,0.04135891,11
24,61,0.046516318,15
24,68,0.029658673,20
24,69,0.04480817,11
24,70,0.04480817,11
24,71,0.038120654,16
24,74,0.0438494,22
24,77,0.04135891,10
24,80,0.042315275,9
24,83,0.04135891,11
24,87,0.034332538,21
24,98,0.037850556,19
24,101,0.04135891,11
24,106,0.04448951,11
24,111,0.035861684,13
24,113,0.033006258,8
24,115,0.04914994,18
24,122,0.045127317,11
24,146,0.036414147,11
24,149,0.043381259,16
24,151,0.032741954,18
24,154,0.045764509,22
24,156,0.04135891,10
24,159,0.040760254,11
24,161,0.034460495,20
24,162,0.031753341,10
24,164,0.046567761,11
24,166,0.03125,7
24,169,0.035522337,6
24,170,0.046129163,19
24,171,0.047721614,21
24,174,0.036446975,19
24,178,0.046427781,15
24,183,0.046062879,20
24,185,0.043205683,16
24,186,0.043205683,16
24,187,0.043662511,16
24,188,0.045573761,21
24,189,0.047779846,20
24,190,0.035057851,14
24,191,0.036300407,11
24,194,0.049601852,10
24,199,0.049669536,9
24,200,0.041785168,7
24,201,0.044914498,11
24,207,0.043966472,17
24,211,0.040831206,10
24,213,0.036578478,11
24,214,0.049669536,9
24,215,0.039080662,22
24,234,0.043825584,11
24,236,0.03125,7
24,238,0.041233083,12
24,239,0.042315275,13
24,240,0.036031686,7
24,253,0.041176842,14
24,258,0.040831206,10
24,259,0.035522337,7
24,274,0.044507721,28
24,278,0.035014981,7
25,1,0.040504447,20
25,17,0.036424759,19
25,21,0.034287968,7
25,33,0.043847823,18
25,34,0.037626772,24
25,36,0.03915079,79
25,37,0.046303824,33
25,38,0.041674036,23
25,40,0.035522337,6
25,41,0.040977022,15
25,43,0.046624546,48
25,44,0.048123889,36
25,45,0.049508583,12
25,52,0.047497005,22
25,54,0.045493127,24
25,55,0.045127317,12
25,56,0.0390625,9
25,59,0.02937118,20
25,61,0.049949976,16
25,64,0.03612624,64
25,68,0.042660909,19
25,73,0.047703769,67
25,74,0.032312911,12
25,75,0.038011144,15
25,76,0.046342698,65
25,77,0.042587066,20
25,78,0.04701766,22
25,80,0.035522337,7
25,87,0.047438274,24
25,91,0.04907986,36
25,98,0.034610558,8
25,102,0.040967078,17
25,103,0.040967078,17
25,106,0.035526421,16
25,107,0.049336698,100
25,109,0.04215345,7
25,111,0.039848105,51
25,113,0.038485744,21
25,115,0.041834036,21
25,121,0.046239681,20
25,122,0.046560599,18
25,126,0.047663395,22
25,128,0.048388168,46
25,131,0.03125,6
25,132,0.049420751,12
25,133,0.044870355,89
25,140,0.045830603,65
25,146,0.047402776,21
25,147,0.037886753,39
25,149,0.049684336,14
25,151,0.034006403,7
25,153,0.039110598,29
25,154,0.039933927,20
25,155,0.039999686,66
25,156,0.045292786,13
25,159,0.046494961,102
25,161,0.035522337,7
25,169,0.03125,6
25,170,0.034515375,20
25,171,0.041942462,21
25,174,0.049833056,19
25,178,0.043546793,20
25,183,0.032655129,20
25,187,0.038033401,20
25,188,0.035522337,6
25,189,0.036349068,20
25,190,0.044343467,15
25,194,0.048276312,64
25,200,0.045047393,37
25,201,0.032681102,14
25,202,0.035522337,6
25,207,0.04851088,19
25,211,0.036031686,8
25,213,0.03125,6
25,215,0.049860204,20
25,216,0.049464923,48
25,219,0.045735772,88
25,222,0.04037721,36
25,223,0.043618486,64
25,234,0.03627197,19
25,236,0.03125,6
25,239,0.036064152,20
25,242,0.0493869,36
25,243,0.041709685,43
25,245,0.037691204,33
25,253,0.038088867,16
25,258,0.038824117,14
25,259,0.035522337,6
26,9,0.049724493,19
26,14,0.046693494,16
26,19,0.044291039,15
26,22,0.049118106,19
26,23,0.036109542,23
26,24,0.046217573,20
26,27,0.044002733,23
26,29,0.045992558,16
26,49,0.03752598,22
26,62,0.034555044,22
26,63,0.04205394,27
26,119,0.035238516,15
26,141,0.049949976,14
26,145,0.046394498,16
26,165,0.047479091,26
26,196,0.037169744,27
26,197,0.037169744,27
26,226,0.049060542,22
26,227,0.044961241,12
26,228,0.045864144,19
26,232,0.039922087,23
26,241,0.035526421,16
26,263,0.040766169,15
26,267,0.040644293,16
26,268,0.040644293,16
26,279,0.040831206,11
27,16,0.044002733,23
27,17,0.028983054,11
27,18,0.044002733,23
27,26,0.044002733,23
27,37,0.035522337,6
27,38,0.046039767,27
27,40,0.044010984,10
27,41,0.037109375,10
27,43,0.049778769,19
27,46,0.035522337,7
27,48,0.049634791,26
27,56,0.035014981,7
27,59,0.04135891,11
27,61,0.046516318,15
27,68,0.049880151,21
27,69,0.04480817,11
27,70,0.04480817,11
27,71,0.038120654,16
27,73,0.046350304,30
27,74,0.049899752,30
27,77,0.04135891,10
27,80,0.042315275,9
27,83,0.04135891,11
27,87,0.049260177,23
27,101,0.04135891,11
27,106,0.04448951,11
27,111,0.035861684,13
27,113,0.033006258,8
27,115,0.04914994,18
27,122,0.045127317,11
27,146,0.036414147,11
27,149,0.043381259,16
27,151,0.032741954,18
27,154,0.04342775,25
27,156,0.04135891,10
27,159,0.040760254,11
27,162,0.031753341,10
27,164,0.046567761,11
27,166,0.03125,7
27,169,0.035522337,6
27,170,0.041674036,20
27,171,0.047369263,22
27,174,0.049860204,19
27,178,0.046427781,15
27,183,0.045453111,21
27,185,0.043205683,16
27,186,0.043205683,16
27,187,0.043662511,16
27,190,0.035057851,14
27,191,0.036300407,11
27,194,0.049601852,10
27,199,0.049669536,9
27,200,0.041785168,7
27,201,0.044914498,11
27,207,0.043966472,17
27,211,0.040831206,10
27,213,0.036578478,11
27,214,0.049669536,9
27,215,0.044815563,26
27,234,0.043825584,11
27,236,0.03125,7
27,238,0.041233083,12
27,239,0.042315275,13
27,240,0.036031686,7
27,245,0.045978294,28
27,253,0.041176842,14
27,258,0.040831206,10
27,259,0.035522337,7
27,278,0.035014981,7
28,17,0.028983054,11
28,37,0.035522337,6
28,40,0.044010984,10
28,41,0.037109375,10
28,46,0.035522337,7
28,56,0.035014981,7
28,59,0.04135891,11
28,61,0.046516318,15
28,69,0.04480817,11
28,70,0.04480817,11
28,71,0.038120654,16
28,77,0.04135891,10
28,80,0.042315275,9
28,83,0.04135891,11
28,101,0.04135891,11
28,106,0.04448951,11
28,111,0.035861684,13
28,113,0.033006258,8
28,115,0.034851915,27
28,122,0.045127317,11
28,146,0.036414147,11
28,149,0.043381259,16
28,151,0.036469195,19
28,156,0.04135891,10
28,159,0.040760254,11
28,162,0.031753341,10
28,164,0.046567761,11
28,166,0.03125,7
28,169,0.035522337,6
28,178,0.046427781,15
28,185,0.043205683,16
28,186,0.043205683,16
28,187,0.043662511,16
28,190,0.035057851,14
28,191,0.036300407,11
28,194,0.049601852,10
28,199,0.049669536,9
28,200,0.041785168,7
28,201,0.044914498,11
28,207,0.043966472,17
28,211,0.040831206,10
28,213,0.036578478,11
28,214,0.049669536,9
28,234,0.043825584,11
28,236,0.03125,7
28,238,0.041233083,12
28,239,0.042315275,13
28,240,0.036031686,7
28,253,0.041176842,14
28,258,0.040831206,10
28,259,0.035522337,7
28,278,0.035014981,7
29,16,0.045992558,16
29,17,0.032815859,11
29,18,0.045992558,16
29,26,0.045992558,16
29,30,0.040849984,24
29,33,0.046231092,25
29,37,0.03877884,33
29,38,0.047344261,27
29,41,0.036535984,13
29,43,0.04621587,29
29,45,0.04096298,10
29,52,0.040427188,18
29,54,0.049187178,27
29,55,0.041567622,18
29,56,0.034287968,8
29,61,0.045427624,31
29,64,0.047120438,28
29,68,0.047451689,19
29,74,0.04134106,30
29,77,0.035285718,24
29,79,0.041810543,11
29,80,0.043085727,9
29,87,0.049315235,23
29,91,0.047920032,37
29,98,0.045233807,11
29,106,0.04982695,7
29,113,0.037156114,18
29,115,0.042312142,24
29,122,0.037308284,9
29,147,0.048469342,36
29,149,0.046199325,13
29,151,0.041710767,17
29,154,0.03917118,24
29,156,0.035522337,10
29,159,0.034287968,9
29,161,0.045209851,16
29,170,0.038224124,29
29,171,0.036414147,11
29,174,0.048442551,19
29,176,0.040075494,37
29,178,0.029772876,8
29,183,0.029302505,11
29,184,0.039348445,26
29,185,0.029772876,8
29,186,0.029772876,8
29,187,0.042587066,18
29,190,0.049599471,17
29,199,0.041491087,11
29,200,0.041671796,37
29,201,0.035861684,13
29,207,0.035837216,18
29,211,0.048550746,9
29,213,0.043825584,9
29,215,0.042311717,25
29,225,0.037265778,12
29,234,0.042062733,9
29,239,0.034608168,24
29,240,0.036031686,7
29,242,0.046255405,34
29,245,0.033658373,33
29,253,0.035238516,15
29,258,0.042568164,13
29,259,0.049389389,9
30,19,0.045679538,22
30,24,0.040039739,22
30,29,0.040849984,24
30,151,0.043250356,34
30,227,0.047469817,22
30,228,0.039143303,19
30,263,0.037987079,20
31,17,0.044878436,15
31,34,0.048319909,74
31,36,0.042489293,79
31,37,0.037803328,34
31,38,0.045882208,40
31,41,0.042591099,34
31,43,0.035176601,50
31,64,0.038190312,55
31,73,0.035740013,75
31,76,0.047774915,76
31,86,0.042403127,59
31,98,0.049389389,8
31,111,0.048206779,55
31,113,0.047111059,37
31,115,0.042411769,35
31,119,0.041451111,149
31,128,0.039886299,49
31,140,0.049890351,50
31,147,0.031244542,39
31,149,0.049965536,17
31,151,0.049805911,19
31,152,0.045772707,133
31,154,0.04813617,35
31,155,0.04046608,109
31,156,0.049642279,15
31,171,0.046675205,73
31,176,0.042225786,40
31,184,0.047573124,52
31,210,0.035522337,7
31,222,0.04906852,35
31,240,0.03125,6
31,243,0.045848858,46
31,245,0.048700055,55
31,253,0.033553758,16
31,258,0.038050001,17
31,259,0.04215345,8
31,261,0.04295795,55
31,278,0.04173179,39
32,166,0.035522337,6
32,183,0.04215345,7
32,210,0.035014981,6
32,240,0.035522337,6
33,14,0.036031686,7
33,19,0.036932144,25
33,22,0.040504447,18
33,23,0.046840051,25
33,25,0.043847823,18
33,29,0.046231092,25
33,49,0.033966233,7
33,50,0.041785168,7
33,55,0.035522337,7
33,135,0.03125,7
33,137,0.034287968,7
33,141,0.038315024,17
33,145,0.040766169,17
33,165,0.033079229,20
33,227,0.032200765,10
33,228,0.044144579,18
33,232,0.047407486,26
33,236,0.046124091,24
33,241,0.046666416,17
33,261,0.033966233,7
33,263,0.044144059,19
33,279,0.034287968,7
34,14,0.04534035,13
34,15,0.046448763,70
34,17,0.04328587,74
34,19,0.041152337,42
34,22,0.047336264,27
34,23,0.037972298,15
34,25,0.037626772,24
34,31,0.048319909,74
34,66,0.038566911,41
34,81,0.044196777,63
34,84,0.046491598,63
34,119,0.043475155,15
34,120,0.047669296,63
34,131,0.046637188,41
34,132,0.045795039,36
34,135,0.04215345,7
34,145,0.045209851,14
34,165,0.039992384,39
34,181,0.033963699,12
34,184,0.035014981,7
34,193,0.04771488,16
34,196,0.049307961,16
34,197,0.049307961,16
34,198,0.043631473,66
34,208,0.043560015,15
34,221,0.037436924,40
34,227,0.033963699,12
34,228,0.049688435,15
34,232,0.032681699,14
34,238,0.043983143,42
34,241,0.046199325,14
34,263,0.046710479,12
34,264,0.047246138,42
34,267,0.049596445,13
34,268,0.049596445,13
34,279,0.033963699,12
35,19,0.044019476,67
35,55,0.046040788,19
35,151,0.039905168,25
35,156,0.042759412,20
35,189,0.047721614,20
36,15,0.046155145,78
36,19,0.049119233,66
36,25,0.03915079,79
36,31,0.042489293,79
36,84,0.049460422,69
36,151,0.048723179,33
36,165,0.041926874,49
37,17,0.048681378,71
37,19,0.035655762,25
37,20,0.045016016,19
37,22,0.048360718,28
37,23,0.038883928,13
37,24,0.035522337,6
37,25,0.046303824,33
37,27,0.035522337,6
37,28,0.035522337,6
37,29,0.03877884,33
37,31,0.037803328,34
37,44,0.03125,6
37,49,0.046180974,33
37,50,0.045590969,36
37,53,0.03125,6
37,63,0.044431493,35
37,66,0.043371668,35
37,81,0.046450922,62
37,90,0.03842468,33
37,93,0.048274336,36
37,118,0.036207843,13
37,119,0.035522337,6
37,131,0.042407642,34
37,132,0.034983916,31
37,136,0.041756748,35
37,141,0.045233807,13
37,152,0.045267967,34
37,163,0.047336892,37
37,165,0.042568164,13
37,182,0.047470157,45
37,196,0.040949397,37
37,197,0.040949397,37
37,208,0.03125,6
37,221,0.042308035,33
37,226,0.03125,6
37,227,0.036578478,11
37,228,0.036393034,12
37,232,0.042546453,36
37,236,0.049660816,21
37,238,0.043329828,34
37,240,0.048152545,36
37,252,0.042375747,35
37,262,0.049142005,37
37,263,0.048078447,19
37,264,0.048222153,35
37,265,0.04985292,31
37,267,0.049346994,38
37,271,0.046223473,37
37,272,0.048091143,37
37,273,0.046223473,37
37,275,0.043317278,36
37,276,0.048091143,37
37,279,0.035522337,6
38,14,0.046574131,18
38,15,0.036577109,49
38,17,0.048336063,51
38,19,0.039945091,23
38,23,0.038666646,27
38,24,0.049941663,19
38,25,0.041674036,23
38,27,0.046039767,27
38,29,0.047344261,27
38,31,0.045882208,40
38,49,0.041451916,23
38,50,0.039193031,43
38,51,0.035522337,7
38,53,0.038217808,17
38,62,0.029222538,12
38,63,0.039956594,27
38,66,0.04142476,43
38,72,0.034131735,46
38,79,0.044857456,49
38,81,0.047433429,57
38,82,0.036121983,46
38,84,0.048747635,48
38,85,0.048076519,50
38,89,0.048468047,26
38,90,0.046033851,31
38,93,0.042206499,45
38,97,0.047144475,48
38,98,0.039894651,50
38,99,0.049288677,47
38,117,0.037134862,47
38,118,0.042694738,14
38,119,0.030854911,12
38,120,0.046842121,45
38,121,0.047666079,51
38,124,0.041969215,51
38,125,0.049389389,12
38,126,0.045817553,44
38,127,0.045242508,51
38,130,0.036523084,52
38,131,0.040812664,40
38,132,0.047670381,26
38,135,0.041785168,7
38,136,0.045118792,46
38,141,0.047253465,48
38,143,0.048003394,47
38,145,0.049688435,17
38,152,0.034815218,31
38,163,0.048058691,47
38,165,0.041416437,23
38,167,0.034287968,8
38,168,0.04937929,49
38,181,0.042694738,14
38,182,0.041419703,45
38,193,0.04461152,46
38,196,0.035522337,7
38,197,0.035522337,7
38,198,0.039581676,29
38,208,0.033325368,7
38,216,0.036031686,8
38,219,0.042620904,26
38,220,0.036031686,7
38,221,0.044535677,27
38,226,0.047399085,19
38,228,0.045446946,12
38,230,0.047399085,19
38,231,0.042040431,46
